question,sample score,text
"The inventor and statesman Benjamin Franklin said, “Money never made a man happy yet, nor will it. There is nothing in its nature to produce happiness.” Do you agree with this statement? Why or why not? Use speciﬁc reasons and examples to support your position.",4,"Benjamin Franklin once said that “Money never made a man happy yet, nor will it. There is nothing in its nature to produce happiness.” I do not agree with this statement because money can buy access to good health care. In my opinion, good health is essential to happiness. Therefore, money can make you happy by keeping you healthy.Money ﬁrst of all can get you access to good doctors, even specialists if you need them. With money, you can afford all kinds of things, like tests47  that check for diseases and special treatments if you ﬁnd something wrong. If your pregnant you can get good pre-natal care and have a good birth, while in poor countries lots of women die in childbirth and lots of babies die while their infants.If you have money you can buy an air conditioner so it’s not too hot in the summer and you can afford to have heat all winter. If you don’t you might suffocate in the heat or freeze to death. You can also stay out of poor areas like slums which are unhealthy and dangerous to live in.As they say, money can’t buy you love, but I think it can buy you good health, and if you don’t feel good, it’s hard to be happy."
"The inventor and statesman Benjamin Franklin said, “Money never made a man happy yet, nor will it. There is nothing in its nature to produce happiness.” Do you agree with this statement? Why or why not? Use speciﬁc reasons and examples to support your position.",1,"Benjamin Franklin was a great inventer of America. He famous for invent- ing electricity. He also wrote a lot. One thing he said once was that “Money never made a man happy yet, nor will it. There is nothing in its nature to produce happiness.” Do you agree or disagree with this statement? Every one has their opinion. Another question is what is happiness? I also like to be with my family and friends.Some times I need money to spend with them, like to ﬂy on a plane to see my brother in Colorado. It is as beautifol there as every one told me it was."
Some states have now made it illegal to drive while talking on a hand-held cellular phone. Do you think this is a good law that should be passed in other states as well? Why or why not? Explain your answer.,6,"No matter how careful a driver you may be, when you do something else while driving, whether it’s drinking coffee, changing the radio station, look- ing at a map, or making a call on your cell phone, you endanger yourself and others because you are distracted from your driving. Even a fraction of a second of distraction is enough to cause an accident. While no state can make it illegal to drink coffee or switch stations while driving, all states can, and should, make it illegal to drive while talking on a cellular phone.In the past decade, as the popularity of cellular phones has risen, so have the number of accidents caused by people talking on their cell phones. Whether they were dialing a number, listening to a message, or simply in a heated conversation, they were momentarily distracted from the task of driving, and suddenly—crash! Fortunately, many of these accidents have48  been minor fender-benders. But all too many have been deadly accidents that could have been prevented by a stricter cell-phone use laws.Cell phone proponents may argue that talking on a cell phone is no more dangerous than, for example, having a cup of coffee while on the road or talking to someone in the back seat. But unlike a cup of coffee, which you can put down between sips, you must keep the phone in your hand. That means that you have only one hand on the wheel while you’re driving. That makes cell phones doubly dangerous: not only are you distracted by dialing or by the conversation; you are also driving one-handed, which means you are less in control. If you suddenly need both hands on the wheel to prevent an accident or to keep your car from sliding, the extra second it takes to get your hand back on the wheel can make the difference between an accident and an accident narrowly averted, between a serious injury and a minor one. Cell phones are also dangerous because when you are busy talking, espe- cially if you really have to concentrate on the matter you are discussing, your mind is not fully focused on the road, and this has a signiﬁcant effect on your reaction time. You will be slower to make important driving deci- sions such as how soon to brake and when to switch lanes, and you will beless able to respond to situations on the road.Many people use cell phones to report accidents and emergencies, to let loved ones know they’ll be late, and to stay in touch when they’re out of town. I’m not arguing that you shouldn’t have a cell phone in your car. What I am saying is that you shouldn’t be driving when you’re talking on that phone. Until your state outlaws hand-held cell phones in cars, pull over to the side of the road when you are ready to make a call. It may add a few extra minutes to your commute, but it just might save your life."
Some states have now made it illegal to drive while talking on a hand-held cellular phone. Do you think this is a good law that should be passed in other states as well? Why or why not? Explain your answer.,4,"Driving with a cell phone is dangerous, and it should be illegal. Its all ready illegal in some states, in my opinion it, should be illegal in all of them.First of all, driving with a cell phone is dangerous because your dis- tracted. Especially when you’re dialing a number, then you’re not even looking at the road. What if the cars in front of you suddenly stop?You can also be distracted by the conversation you are having and lose focus from driving. This means that you may not be able to react quick enough to dangers on the road. Another problem is that with a cell phone, you don’t have both hands on the wheel, and that’s for the whole time you’re talking. You can’t make sharp turns and handle sudden curves with just one hand.49  Lots of people think, oh, it’s just one quick call, no problem. But even just a quick call makes you distracted, even just for a quick second. That’s enough to cause an accident. So don’t drive when you need to talk on your cell phone. Instead, be safe and pull over."
Some states have now made it illegal to drive while talking on a hand-held cellular phone. Do you think this is a good law that should be passed in other states as well? Why or why not? Explain your answer.,1,"In many states of the United States they make it again the law for talking while driving with cellular telephone. In my opinion, is this a good idea? I believe.For to many accidents, are happening with the cellular telephone, the driver he don’t see (what happens) ahead. This terrible for every one espe- cial the ones they getting hurt. Some accident really very terrible and, everyone going to the hospital. This should be the law."
Some states have now made it illegal to drive while talking on a hand-held cellular phone. Do you think this is a good law that should be passed in other states as well? Why or why not? Explain your answer.,6,"A single overweight person might not warrant much attention. But a nation whose population is increasingly obese is cause for concern. In the United States, 14% of children and teenagers are categorized as overweight. Why is this a serious problem instead of simply a matter of personal choice? What are the causes of this constantly increasing percentage of obese per-61  sons? What is to be done about this, and what organized steps should be taken to solve the problem?Just as there are ripples from a stone thrown into the water, there are far- reaching and unending effects resulting from obesity. From a psychologi- cal perspective, most obese persons would prefer not to be overweight. Our society gloriﬁes the ultra-thin, so if you are obese you do not ﬁt in with acceptable modes of appearance. We know that children are often cruel about taunting their heavy classmates. All too often we hear friends say, “I’ve got to lose weight before that trip,” or “before the wedding.” How- ever, there are more objective measures of the negative results of obesity. Type 2 (adult onset) diabetes, an illness with serious consequences, includ- ing damage to the heart, damage to the eyes and difﬁculty in healing infec- tions is attributed to obesity. Public health agencies are dealing with the continual rise in this type of diabetes. Asthma is also on the rise as a result of the obesity epidemic as are sleep disorders such as sleep apnea. Recent research indicates a relationship between some types of cancer and obesity. Society pays the price when citizens are ill, are unable to work, and require constant medical care.Questions arise: “What can be done about this?” “Who or what is to blame?” Discussing blame is a delicate problem. There are undoubtedly overweight individuals with inherited tendencies toward diabetes or heart disease, and there is evidence that a hormone that gives people a sense of fullness after eating may be lacking in some obese people. Yet, knowing that they are at risk would suggest that steps be taken to thwart the onset of the physical consequences of obesity.Most authorities agree that diet is key. The avoidance of foods high in sugars, carbohydrates, and saturated fats is recommended by most physi- cians as a way to ward off obesity and its dire consequences. But this is dif- ﬁcult in our society where fast food outlets are ubiquitous, where we are bombarded by advertising of unhealthy foods, and where we lead increas- ingly sedentary lives. Sugar-laden soft drinks are sold in schools and prof- its from these sales are high. An elementary school in Los Angeles received$50,000 for allowing Coca-Cola to install its vending machines. This com- pany and Pepsico constitute the majority of the school soft drink market, and while they proﬁt from the present sales, they are also building brand loyalty and creating future habitual soft drink consumers.Lack of adequate exercise is a concomitant contributor to the rise in obe- sity. Children are often playing video games instead of engaging in sports. Adults watch television instead of exercising. People will drive around62  shopping centers to avoid walking a few extra steps. The quintessential “couch potato” invention has just been invented. Now you can get a uni- versal remote with which, from your comfortable couch, you can not only control your television, but your oven, lights and, presumably, other things which we can only begin to imagine.Society suffers when its population is increasingly unhealthy, has rising medical costs, notes absenteeism from work and school, and has social inequalities. This latter result, social inequalities, reﬂects the assertion recently made by a school administrator that 50% of children in poorer school districts are obese. Experts seem to believe that obesity is a problem that can, with diligence and desire, be eliminated or at least mitigated with two simple changes in lifestyle—eating more healthily and getting more exercise."
Some states have now made it illegal to drive while talking on a hand-held cellular phone. Do you think this is a good law that should be passed in other states as well? Why or why not? Explain your answer.,4,"Obesity is a growing problem in this country. But I don’t think obese peo- ple actually want to be overweight because being overweight makes you get sick more often. Doctors say obesity causes asma, diabetes, and even heart disease. If people understood the effects of obesity, they would probably try harder to lose weight because no one likes to get sick. Being sick makes kids miss school and adults miss work and often causes a lot of hospital bills. So, in the end, obesity hurts kids educations and their parent’s jobs and is also incredibly expensive.Lately, more and more kids are becoming obese. This is a real problem because teenagers shouldn’t have to worry about their heart! They should be playing sports and having fun and getting an education. But when stu- dents have asma attacks, they can’t breath, which means they can’t go to class or take gym. So, having asma and missing school interferes with their education.Obesity also causes diabetes, a really terrible disease that can make you blind. Of course, some people get diabetes because their parents have it not because they’re obese. Heart disease is the number one cause of death in America and can also be caused by obesity. In a way, obesity is more than just being overweight, its like three diseases wrapped up in one. That’s exactly why everyone needs to learn more about it, so we can stop it from getting out of hand.Some people may be obese because they don’t like to exercise. But they need to ﬁnd a way to exercise because if you exercise every day, you will probably stay in shape. Then you won’t have to pay expensive doctor bills63  or go to the hospital as often and everyone will be healthier, miss less school and work, and be better off."
Some states have now made it illegal to drive while talking on a hand-held cellular phone. Do you think this is a good law that should be passed in other states as well? Why or why not? Explain your answer.,1,I think obesity is bad but not that bad. If you like sodas you want to have a soda and you may need a mashin. My best friend may be obese but so what if your nice. They try to make you do sports but what if you like tv and the soaps bettr. I don’t think yul die if you eat fries and I like that food best so whats the big deel?
"Describe the purposes of the Internet. Include various viewpoints, including that of users and providers.",6,"In today’s world, the ﬁrst place people turn to when there is a question to be answered, information to be located, or people to be contacted, is often the Internet. Yes, the Internet may have supplanted the traditional ency- clopedia as well as a number of other sources of service and information. We can make reservations, plan vacations, play interactive games, learn a language, listen to music or radio programs, read the newspaper, and ﬁnd out about a medical condition, without coming face to face with another person. There is no limit to the subject matter you can research on the Internet. Just go to a search engine such as Yahoo or Google, type in a few key words or a Web address, and presto, you will probably summon links to more sources than you could have imagined. The Internet allows you to remain at your computer and shop no matter what you wish to purchase. And if you are looking for a bargain or an unusual item, you can go to a popular auction site and either sell or buy.If, however, you do wish to speak directly to a person, there are the chat rooms. On practically any given topic, groups of people converse with each other. They may be giving opinions about a perfect travel itinerary, a book, or even a political party. The most prevalent use of the Internet also involves directly writing to a person, and that is the sending of e-mail mes- sages to friends and associates. It is possible to communicate instantly with anyone, anywhere, as long as there is an Internet connection. In a world where people frequently travel, where families do not necessarily live in the same neighborhoods, e-mail is a means of making simple, inexpensive, immediate contact. Not only do we send verbal messages, but also now digital cameras take pictures that can be stored and then instantly trans- mitted on the Internet.64  Unfortunately, there are individuals who subvert the opportunities offered by this technology. They are less than honest, disguise their iden- tity, bilk people in ﬁnancial scams, and entice unsuspecting people, includ- ing children, into giving them personal information. Caveats about these problems are currently being publicized so those Internet users will not be victimized.Of course, the Internet providers, such as AOL, hope to make a proﬁt, and there is usually a monthly fee for the hookup. To increase the proﬁts, the providers sell advertising, which may pop up on the subscriber’s screen and require the user to stop and respond, either positively or negatively, to the ads. When you consider that, among other things, you can hear a concert, read a book, visit a museum and view its contents, visit the websites of numerous individuals and organizations, play a game with one or more peo- ple, and pay your bills, you will realize that the uses of the Internet are too vast for a short list. Most would agree that much has been added to peoples’ lives by connecting them to the Internet, and that we probably cannot antic-ipate what new purposes will be explored in the future."
"Describe the purposes of the Internet. Include various viewpoints, including that of users and providers.",4,"The internet is very useful. You can send e-mail to your friends. They can write back to you. You can do this whenever you want. You can write to peo- ple you don’t know. You can meet people through the internet. When someone goes to college you can write to them every day.You can look things up. If you want to ﬁnd out about something you can look it up. You don’t have to go to the library. If you have to read a book you can ﬁnd out about it and not read it. There are good games you can put in your computer. I like these games. I want to get more games. You can hear good music on the computer. I like to do this. I know how to down- load the music.I like to buy stuff on the internet. My friends do this too. I can buy any- thing and just give a credit card number. I don’t have to go the store.There are many, many things you can do on the internet right from your computer."
"Describe the purposes of the Internet. Include various viewpoints, including that of users and providers.",1,I have the internet. I do not use it a lot it takes to long to get things on it if you have to ﬁnd it out. If you have a computer you shud have it then you can rite on it and music but who nose how the music I like noone els likes I like hard rock what about you.65  If you have internet only 1 can use it so how do you no who it is and why ﬁte. If you have a movie more than 1 are alowd not just 1.But the internet has good purposes.
Describe various styles of shoes as well as reasons for their popularity.,6,"Visit the shoe department of a large department store and you will undoubt- edly see a variety of shoe styles on display. This suggests that the store is sat- isfying the customers’ desire for an assortment of shoes.Logically, shoes should protect and support the feet. An example of such a shoe is the sneaker. Originally an inexpensive canvas, rubber soled version of a leather oxford (a shoe with laces), the sneaker has become increasing popular and has supplanted the oxford for regular everyday use for many students and some adults. Sneakers, like living things, have evolved and branched out. They are now mostly made of leather and have much cush- ioning to minimize stress on the wearer’s joints. They have become spe- cialized into separate sneakers for walking, running, tennis, and basketball. There are sneakers for aerobic classes, and for the eclectic exerciser, there are cross trainers. There is justiﬁcation for their popularity for they are comfortable and are engineered to properly support the foot during a par- ticular activity. It has also become acceptable to wear sneakers with street clothes because they just plain feel good. An endorsement by a popular ath- lete spreads their appeal as well as increases their cost.At the opposite end of the spectrum is a shoe style that is uncomfortable, harmful, and impractical. These adjectives describe the women’s shoes with pointed toes and thin, high heels. Doctors say that the pointed toes cause deformities of the feet, and the three to four inch heels are unstable and can cause back problems. With so many negatives, why are these styles consis- tently popular? Wearers may admit that they are uncomfortable, but say that they are fashionable and that, in time, they get used to them. Histori- cally, people follow fashion, and here again, advertising preys upon this need to keep up with the current trends.A shoe that can be totally practical, simply fashionable, or a combination of both, is the boot. For cold or inclement weather, no footwear is as desir- able as an insulated, rubber-soled boot. Boots are popular because they are practical, long lasting, and a desirable fashion accessory. But there are boots whose entire function is fashion. Yes, these boots have the same pointed toes66  and spiked heels as the shoes described above, but they are boots because the leather continues high on the leg.Historically, shoe styles change, but there are some shoes that are com- fortable as well as fashionable, like sandals and sneakers. And, there are those styles some would consider fashionable but harmful to the feet, or worse. If the choice were between comfort or fashion, many people would probably risk discomfort in order to be fashionable."
Describe various styles of shoes as well as reasons for their popularity.,4,"Shoes are popular because they’re necessary for doing almost anything. You need them to walk, play sports, and even to enter drug stores and restau- rants. Without them, you’d have to sit at home all day. Shoes also protect your feet when your walking on a hot sidewalk or hiking in the woods. Nowadays, people even use shoes to make fashion statements. Some shoes are more expensive than ever just because they’re so popular.My favorite shoes are my sneakers. Everyone at school has sneakers because they’re required for gym class. They’re also popular outside of school because they come in so many colors and styles. I have a lot of friends at school but none of us has the exact same pair of sneakers. In high school, sneakers are a good way to express your personality, and on top of that they’re really comfortable.Sandals are also popular, especially in the summer, because they’re also comfortable and don’t hurt your feet. You can move your toes around when you where them and they don’t make your feet sweat like sneakers some- times do.I also have new high heel boots with a 4 inch heel. They hurt my feet when I wear them for a long time, but I don’t care because they look so cool. I think looking good is worth the pain. Besides, I only wear them on spe- cial ocasions. My mother thinks I’ll end up ruining my feet, but you should see the heels she wears to work!"
Describe various styles of shoes as well as reasons for their popularity.,1,I like shoe styles they are good. One time I went to buy shoes and my cuzin was there and we huged becuz we did not see each other for ever. We went to her house and watched tv. I need new sneakers. I like sneakers. They cost to much so I cant get them now. I want high heels my mother wears them and they kill her feet but I want them to. Everyone wants them.67  
Math is a required subject. Explain why it is so important.,6,"If you complain about the universality of math as a required subject, just try and spend one day without encountering some form of mathematics. From page numbers to prices to today’s date, math puts things in order and enables us to compare quantitatively. Figuring how much time is required, how much of an ingredient must be measured, how much carpet to buy, all of these everyday experiences require familiarity with math. To survive ﬁnancially you must use math to allocate your resources. If you want to invest in a business or in the stock market you must know how to deal with the numbers. Understanding graphs and other analyses about the economy or politics or consumer conﬁdence are enhanced by the applications of math. Mathematical applications in the study of science are essential. Track- ing the orbits of planets and the locations of stars in the galaxy cannot be done without numerical comparisons. Every discipline, from archeology to zoology, beneﬁts in some way from the use of mathematics.Practical reasons for the need for mathematics are omnipresent, but there are other, perhaps more esoteric reasons, for interest in this subject. The amazing coincidences found in numbers provide continual fascination. An example is the fact that the sum of the numbers in the products of the “9-times table” add up to nine. Nine times ﬁve equals forty-ﬁve, and four plus ﬁve equals nine. Similarly, the numbers in the product of seven times nine also equal nine. Mathematicians are also especially fascinated with unique geometric relationships. An example is the fact that three pyramids of the same height will exactly ﬁt into a prism of equal height.A teacher of mathematics once told me, “Math is in everything,” and some people say, “Mathematics is the something for which the world was written.” These are reasons enough for requiring its study."
Math is a required subject. Explain why it is so important.,4,"Math is a required subject because it is important in school and in every day life. If you don’t understand simple math, you’ll never know if the cashier is giving you the right change or if your getting a good deal on a new car. Without math, shopping would be impossible. You wouldn’t be able to ﬁg- ure out what you could afford. Some people think they don’t need math but they do. You need math to know if its hot or cold outside or to know what pages you have to study for a particular test.68  Math is also important because you need to use it in almost every other subject. Sometimes you need math in science to make a graph or to meas- ure amounts for an experiment. There’s no way you could pass science with- out math. I use math in history class to remember dates and in English class we use it to understand poetry. You can’t even write a haiku without math because you wouldnt be able to count the number of syllables and lines.In every day life, you need math to balance your checkbook and to know how much time you have before the movie starts. Without it, you’d never be on time, and your friends would hate you. Math is necessary even to make a simple phone call. When you think about it numbers are everywhere so it’s important to understand them."
Math is a required subject. Explain why it is so important.,1,We have to take math. I don’t like it. It is stupid. We have to draw in the boxes on graf paper what is this art. I faled art anyway so why do it in math. I can use the kalkuate so I don’t even need to study it where allowd to use the kalkuate and so I do not care if math is important.
Describe a major environmental problem and what you believe should be done about it.,6,"A major environmental problem, the magnitude of which we are just begin- ning to realize, is global warming. When people say that the winters aren’t as cold as they used to be, or that there was deﬁnitely more snow in past years, they are correct. In addition to these personal testimonials, there is concrete visual evidence of global warming. Most noticeable is the deple- tion of the ice caps. In recent years, glaciers have been receding in greater amounts than in former years. One only has to visit a national park where this recession is marked with signs indicating where the glacier reached in a particular year. The visitor can see how much further away from a par- ticular spot the ice is at the present moment.When the ice caps, made of fresh water, melt, they change the salinity of the oceans, change the currents, and change the conditions for survival for myriad species. Additionally, invasive species might move in, affecting the entire ecosystem. This has a domino effect, as all species are interdepend- ent and survive according to predictable sources of food and living condi- tions. A speciﬁc example recently described on an environmental calendar69  told of the effect of global warming on polar bears. The bears cannot go out on the melted ice, which is how they get their food. This causes them to lose body fat and even to be unable to give birth to cubs.Global warming causes ﬂooding, and because the warming of the earth causes dryness, ﬁres increase.When speaking of the causes of global warming, some experts say that ice ages followed by warming have been cyclical throughout the eons and that there is not much that can be done about it. However, most scientists believe that the actions of humans have speeded up this process. They blame the increased burning of wood and fossil fuels—oil and coal—on an increasing population needing heat for warmth and cooking. More energy consumption places carbon dioxide and other pollutants in the atmosphere. Warm air trapped around the earth has been deemed the greenhouse effect.While we cannot stop the naturally occurring climate changes, we can try to mitigate the rapid warming by reducing our use of fossil fuels. Much publicity has been given to the love that Americans have for sports utility vehicles which burn an inordinate amount of fuel and which are not required for the kind of ordinary driving done by most owners. There are numerous additional ways in which we can reduce our dependence on these fuels, ranging from insulating our homes, to lowering the thermostat in winter, and raising it when we use air conditioning. Perhaps researchers can develop alternate sources of energy. Presently an automobile is being devel- oped that uses gas initially and then automatically switches to electricity. Theoretically, this car will be able to run for ﬁfty miles on one gallon of gasoline. Additionally, we can support the scientiﬁc study of the effects of global warming. Perhaps we can predict such things as where ﬂoods will occur or where crops will have difﬁculty surviving and take steps to over- come these problems.One thing is certain. Global warming is a serious environmental prob- lem with ramiﬁcations that affect almost every aspect of life."
Describe a major environmental problem and what you believe should be done about it.,4,"Global warming which means that it is getting warmer all over the globe, is a serious environmental problem. It is bad for the environment, nature, animals, and humans as well. Global warming causes a lot of glaciers to melt which then causes more ﬂoods and makes the ocean warmer which could hurt certain kinds of ﬁsh. Global warming also leads to more ﬁres in gen- eral and increases the rate of cancer in humans, especially skin cancer.In order to stop global warming, we should study the greenhouse effect.70  501 Writing  PromptsBecause we use too much oil and gas and pollute the air on a regular basis, hot air can’t escape the atmosphere. We need to use less oil and gas so the hot air can get out. People don’t need to drive trucks and SUVs all the time because they use more gas and cause more air pollution. We also don’t have to use air conditioning all the time. People need to remember that minivans and air conditioning are luxuries not neccessities.If everyone agreed to change their habits, it would help the environment a lot. So, we should ﬁnd out what needs to be done to solve this serious environmental problem and do whatever it takes."
Describe a major environmental problem and what you believe should be done about it.,1,A environmental problem is called global warming. The globe is getting hot. I am not sure about this we had plenty of cold days and I like it hot in summr. How do they no do they mesure all over the globe. 1 day it was so cold my hands froze and I got in trubel because I was not aloud out so I had no time to gebt gloves. I gess I don’t like global warming if it gets to hot but maybe its only far away anwe don’t need to wory about it hear.
Describe how communication has changed in the last twenty years.,6,"Who could have predicted twenty years ago that communication would change as radically as it has? Today, communication is instantaneous. No longer do we have to use a pen, pencil, or typewriter to write a letter. No longer do we have to use a postal service to mail it. No longer do we have to wait for a response that takes several days. Nor do we have to stay near a telephone or search for a public phone while traveling. Things have speeded up exponentially.In the last twenty years we have beneﬁted from tremendous changes in telecommunication. The relatively simple change to portable phones enabled us to roam around the house while chatting, not limited by the length of the cord that attaches the receiver to the base of the telephone. Then came the beeper, allowing us to get a message when away from a tele- phone. Now, of course, there is the ubiquitous cell phone. Watch the crowds walking along a sidewalk, and you can’t help noticing people pur- posefully striding along while talking on their cell phones.What if we must write a message? We now have e-mail. We send these messages immediately after typing them on the computer keyboard and never have to go to the Post Ofﬁce. No more “snail mail.” Perhaps we have71  a written copy that must be sent but cannot be conveniently sent via the computer. Simply dial a phone number, push a few buttons, send a FAX. The copy is transmitted to the receiver at once. The ability to telecommute is almost like handing the copy to the recipient. What a difference twenty years has made. Just as most of us could not imagine the speed and ease of communication in the twenty-ﬁrst century, we probably cannot anticipate the changes that will occur in the next twenty years. Perhaps we will be able to send instant messages simply by thinking about them, from one brain to the brain of the intended recipient."
Describe how communication has changed in the last twenty years.,4,I believe communication has deﬁnitly changed in the last 20 years. It is much different. I can send e-mails to my friends every day. Even twice a day if I want. I could not do this a few years ago. It’s great. So I think commu- nication is much faster and I deﬁnitly think it is much easier if you have a computer. Every school and ofﬁce has a computer.I believe the best change is the cell phone. I have a cell phone that I carry everywhere I go. I can turn it off in the movie and it will vibrate (shake). Then I know I have a call and I can leave and answer it. I don’t think it is right for you to bother someone with your cell phone.I don’t even need stamps to send cards. I can send them on the computer. All my friends have e-mail. And if they don’t they don’t get a card untill they do.I can also send a FAX on the telephone if I have to send a copy right then. These are the ways communication has changed in the last 20 years.
Describe how communication has changed in the last twenty years.,1,Communication is talking. In some ways it has changed in the last 20 years. I think I can talk easily now because I cary around with my phone. It is pink and everyone likes it. Because I worked to earn it each month. You don’t have to read the paper you can watch tv if you want. Tv tells you about clothes and stuff that you care about. So communication is grate. Commu- nication is also the computer which is all over. I hate to rite so I use my cell but I could if I felt like it. My mother uses it. So she says it is much better.72  
"Discuss the events in the life of your favorite author, sports ﬁgure, or performer. Explain how these events relate to the person’s achievements.",6,"Herman Melville was a 19th century writer whose works foreshadowed themes that would become prevalent in the 20th century. He wrote about his distaste for the prevalent oppression of underlings, of the need to accept different cultures and to appreciate the contributions of ordinary people. His novels probe into psychological reasons for characters’ actions in a way that would be relevant today.Born into a New York family that was prominent, although in constant debt, Melville was forced to end his formal schooling at the age of twelve. He was nevertheless widely read and informed on numerous subjects, including, but not limited to, literature, art, science, biology, navigation, mythology, and geography. Thus, he was largely self-educated, as was Ish- mael, the narrator of Moby Dick, Melville’s most acclaimed novel. Ishmael said, “A whale ship was my Yale College and my Harvard.”Just as Ishmael’s experiential education mirrored Melville’s own informal schooling, so were many other aspects of his life reﬂected in his writings. Signing up as a cabin boy on a ship going to Liverpool, England, when he was 20, provided Melville with material for the novel, Redburn. The novel was about a lonely 20-year old orphan wandering around Liverpool and is thought to be the writer’s most autobiographical.Motivated by the need to earn money, Melville signed up for a four-year voyage as a common seaman in spite of the fact that his family connections could have easily gotten him an ofﬁcer’s commission. Melville had a pro- gressive view about equality that was unusual for his time. He believed in the dignity of all work, which was reﬂected in his sympathetic, even admir- ing, excruciatingly detailed, descriptions of the jobs of the working people in his writings. He decried nationalistic prejudice and believed that all peo- ple are related. He wrote, “You cannot shed a drop of American blood with- out shedding blood of the whole world.”Among the ﬁrst white men to explore the South Sea Islands, Melville was surely the ﬁrst literary artist to do so. Unable to bear the inhumane treat- ment on this long voyage, he deserted in the Marquesas Islands. He was ill and fortunately was cared for by a kindly native family. A grown son in the family was covered with tattoos, and Melville learned that these people were cannibals who feasted on their enemies. In order to leave, he had to escape, ﬁnding refuge on an Australian ship. He deserted from this ship also, land- ing in Tahiti. These experiences provided material for the novel Typee, about the South Sea Islands, the novel Omoo, based upon his experiences in Tahiti,73  and the novel White Jacket, which exposed the cruelty of navy ﬂogging. The tattooed man who cared for Melville provided the prototype for Quequeg, one of the most memorable characters in literature.Herman Melville also was a crewmember of a whaling voyage where he learned the intricacies involved in this type of multi-year voyage that he used as the setting for Moby Dick. This novel, considered a literary master- piece, provided a forum for Melville’s ideas about the necessity for con- nectedness. The savage, Quequeg, and the sailor, Ishmael, were mutually supportive of this theme. In addition, Melville was a great believer in democracy and the beneﬁts of diversity, and these beliefs were reﬂected in his descriptions of the crew on the whaling voyage. The ship was a metaphor for the world, with its crew coming from every known location and background, all being necessary for success. A monomaniacal captain, devoid of empathy, driven by his selﬁsh aims, and unable to connect with others, could only lead to disaster.Thus, Herman Melville’s real-life experiences undoubtedly made possi- ble his descriptive novels, but they would not have been possible without his independently drawn conclusions about the dignity of man and his place in the universe."
"Discuss the events in the life of your favorite author, sports ﬁgure, or performer. Explain how these events relate to the person’s achievements.",4,"Herman Melville was a 19th century American writer who wrote many famous books including Moby Dick. Like Moby Dick, most of his books where about topics that were of personal interest to him like ships and whaling. He spent a lot of time on ships and also knew a lot about whales. Melville led an excit- ing life and put a lot of that excitement into his books. Because his books were based on real life events and topics he knew alot about, the writing was incred- ibly detailed and vivid. When people read his books, even when people read them today, they feel as though they’ve been taken into another world. When you read Melville’s books, you learn a lot about whales and foreign lands, but you also learn a lot about him as a person.Moby Dick is a great book. After reading it, you can understand a lot more about Meville. The story is about a crazy man named Captain Ahab who wants to kill a great whale named Moby Dick. In the book, Melville really seems to care about his characters and makes it clear that all of the charac- ters are equal in his eyes. Ahab’s ship is supposed to be a symbol of the entire world and characters like Quequeg and Ishmael are simply every day peo- ple. Because Ahab is so selﬁsh, he ends up destroying the entire ship. After realizing that, Melville wants us to know that selﬁsh world leaders will also74  ruin the world if regular citizens like Ishmael and Quequeg aren’t given any power. Melville was all for democracy which you can easily tell after read- ing this book."
"Discuss the events in the life of your favorite author, sports ﬁgure, or performer. Explain how these events relate to the person’s achievements.",1,My clas had to read Moby dick. I learned about the author. He is Herman Melville and I like him he is brave he went on trips. I never went on many trips but I wuld. I wuld go to ﬂorida. He Herman never went there but he went other places and wrote about it.i don’t think nobody in my class akshuly read it.
Explain the causes and effects of not voting in elections.,6,"Voting is the privilege for which wars have been fought, protests have been organized, and editorials have been written. “No taxation without repre- sentation,” was a battle cry of the American Revolution. Women struggled for suffrage as did all minorities. Eighteen year olds clamored for the right to vote, saying that if they were old enough to go to war, they should be allowed to vote. Yet Americans have a deplorable voting history.Interviewing people about their voting habits is revealing. There are individuals who state, almost boastfully, that they have never voted. They somehow set themselves apart from the requirements of citizenship in a democracy. Many who avoid voting do so consciously. It is not as if they were ill or unavoidably detained on election day. Often they claim that their one vote doesn’t matter. “What’s one vote?” they ask. Perhaps one vote may not count in some elections, although there have been results determined by one or very few votes. In addition, the total of single votes that are not cast can add up to a signiﬁcant difference in a particular race. Some people blame the fact that they do not know enough about the issues for their absence from the voting booth. Others say that they avoid learning about the news because it is too depressing. In a democracy, we can express our opinions to our elected leaders, but more than half of us sometimes avoid choosing these people who make the policies that affect our lives.One of the effects of this statistic is that politicians will cater to the groups that do vote in large numbers, giving more weight to their needs than to those of other groups or of the general population. Since so many do not vote, elected ofﬁcials can, with impunity, promote policies that ben- eﬁt the special interests that contribute ﬁnancially to the election cam-75  paigns. Another effect of not voting is the free rein given to those in ofﬁce to disregard the expressed opinions of constituents. For if you do not vote, why should the candidate worry about you?It seems ironic that in this most democratic of societies, we abrogate the privilege for which so many have struggled. How many countries do not have a choice of candidates, yet their citizens are forced to participate in sham elections? In the United States we have choices. We can vote to ﬁre an ofﬁceholder who does not live up to our expectations by choosing an opponent at the next election, and we are free to choose someone whose ideas appeal to us.Perhaps a major reason for not voting is the failure to convey how pre- cious and unique is the right to vote and how important is each and every vote. The major effect is that we are voluntarily giving up our rights as cit- izens to ascertain that our elected ofﬁcials truly represent us. This is because we have not done our part in choosing them so in effect, we are telling these ofﬁcials that we don’t care enough to bother to vote."
